,Location,latitude,longitude
0,100 W WATER ST,38.0300657,-78.4818768
1,402 ALTAMONT ST,38.0339541,-78.4823648
2,435 PARK ST,38.0333744,-78.4765042
3,100 WATER ST LOT,38.029581,-78.48165399999999
4,100 E JEFFERSON ST,38.03211,-78.4810509
5,1411 UNIVERSITY AVE,38.0344445,-78.4999223
6,00 WATER ST LOT,38.0294361,-78.4811304
7,100 OAKHURST CIR,38.0318863,-78.506869
8,112 5TH ST EXT SW,38.029271,-78.47846299999999
9,400 ALTAMONT ST,38.03383609999999,-78.48240919999999
10,1800 WAYNE AVE,38.0601616,-78.4967515
11,1800 WAYSIDE PL,38.0429379,-78.4993824
12,400 E JEFFERSON ST,38.0314062,-78.4784596
13,1900 THOMSON RD,38.036541,-78.5078506
14,200 5TH ST NE,38.0306252,-78.4780935
15,200 15TH ST NW,38.0351581,-78.49961309999999
16,1541 VIRGINIA AVE,38.039017,-78.5005487
17,2 10 1/2 ST NW,38.032737,-78.4952697
18,100 15TH ST NW,38.0350987,-78.49971769999999
19,00 4TH ST SE,38.0295485,-78.47960619999999
20,100 E WATER ST,38.029581,-78.48165399999999
21,200 GARRETT ST,38.0282366,-78.4825202
22,100 4TH ST NE,38.0300748,-78.4792377
23,800 NALLE ST,38.0298166,-78.4935799
24,200 2ND ST SW,38.030038,-78.482293
25,300 MARKET ST E,38.0308985,-78.47952339999999
26,100 CITY HALL ANNEX,38.0296644,-78.4765795
27,600 MARKET ST E,38.0304104,-78.4774516
28,100 5TH ST LOT,38.03089569999999,-78.4876262
29,1900 JEFFERSON PARK AV,38.027423,-78.5112631
30,2100 JEFFERSON PARK AV,38.026078,-78.513497
31,2300 PRICE AV,38.0269367,-78.51667789999999
32,100 HARMON ST,38.0272963,-78.5124615
33,100 OLD PRESTON AVE,38.0312325,-78.4829043
34,100 2ND ST NE,38.0309214,-78.4805844
35,200 MONTEBELLO CIR,38.02987419999999,-78.50968259999999
36,200 MARKET ST E,38.0311044,-78.48036689999999
37,100 DAVID TERR,38.026141,-78.50697509999999
38,100 THOMAS DR,38.0259015,-78.5076012
39,100 STRATFORD CT,38.026127,-78.5087538
40,200 SHAMROCK RD,38.02663580000001,-78.5104684
41,100 VALLEY RD,38.0295351,-78.5072911
42,1600 JEFFERSON PARK AV,38.031753,-78.5073794
43,1700 JEFFERSON PARK AV,38.0302354,-78.5083337
44,100 WASHINGTON AV,38.0275935,-78.5136388
45,100 OBSERVATORY AV,38.0269556,-78.51367650000002
46,300 MONTEBELLO CIR,38.0294392,-78.51039759999999
47,100 CHELSEA DR,38.0287226,-78.5125315
48,100 APPLETREE RD,38.0262241,-78.5193851
49,100 N. PIEDMONT AVE,38.0259344,-78.518737
50,1100 MAIN ST W,38.0332883,-78.4979397
51,400 BRANDON AV,38.0315809,-78.50336890000001
52,800 ESTES ST,38.0306931,-78.4926732
53,400 SPRING ST,38.0285965,-78.5002131
54,400 MONROE LN,38.0317055,-78.50266309999999
55,100 12 1\2 ST NW,38.03322319999999,-78.49752099999999
56,1300 JEFFERSON PARK AV,38.0319019,-78.501032
57,700 MAIN ST W,38.0314589,-78.49011089999999
58,1200 MAIN ST W,38.03276930000001,-78.49659299999999
59,1200 WERTLAND ST,38.0341953,-78.4964925
60,1600 UNIVERSITY AV,38.0354566,-78.5010381
61,100 CHANCELLOR ST,38.0359935,-78.5014644
62,300 6 1-2 ST SW,38.0294764,-78.4903228
63,500 VALLEY RD,38.0307936,-78.5050523
64,2300 JEFFERSON PARK AV,38.0242509,-78.51442639999999
65,100 KENT TERR,38.0284001,-78.5099985
66,1800 JEFFERSON PARK AV,38.028643,-78.5090309
67,800 JEFFERSON ST E,38.0307801,-78.4754387
68,200 8TH ST NE,38.0304748,-78.47565809999999
69,900 CHERRY AV,38.0288435,-78.4952861
70,400 4TH ST NE,38.032316,-78.47817649999999
71,200 1ST ST N,38.0315386,-78.4811438
72,200 2ND ST NW,38.0321296,-78.4816336
73,400 JEFFERSON ST E,38.0314062,-78.4784596
74,100 JEFFERSON ST E,38.03211,-78.4810509
75,700 PINE ST.,38.0271515,-78.4953094
76,400 7TH ST NE,38.031652,-78.47592519999999
77,200 2ND ST NE,38.0318401,-78.4799673
78,400 1ST ST N,38.0330404,-78.4805004
79,200 4TH ST NW,38.0314737,-78.48620439999999
80, 2ND STREET NW,38.032083,-78.4817569
81,400 15TH ST NW,38.0384698,-78.4982486
82,300 2ND ST NE,38.0322687,-78.47993129999999
83,400 3RD ST NE,38.03256,-78.4789613
84,0 CITY HALL ANNEX,38.0296644,-78.4765795
85,300 4TH ST NE,38.0315787,-78.47854699999999
86,100 DUNOVA CT,38.0299094,-78.512062
87,200 4TH ST NE,38.0308676,-78.4788797
88,200 JEFFERSON ST E,38.0320677,-78.4800788
89,700 JEFFERSON ST E,38.030937,-78.475938
90,200 7TH ST NE,38.0301331,-78.4766163
91,1200 KING ST,38.0282139,-78.5002552
92,300 2ND ST NW,38.03252940000001,-78.4815503
93,200 3RD ST NE,38.0310685,-78.47963899999999
94,100 JEFFERSON ST W,38.03211,-78.48105149999999
95, 1ST STREET N,38.0330298,-78.4805054
96,100 1ST ST N,38.0310931,-78.4812815
97,700 WATER ST E,38.0286135,-78.4755727
98,400 WATER ST E,38.0291892,-78.4795678
99,100 MADISON LN,38.0364048,-78.5023953
100,100 4TH ST SE,38.0300673,-78.4792415
101,600 PRESTON PL,38.0411638,-78.4983465
102,600 PRESTON AV,38.0347258,-78.4862495
103,17 UNIVERSITY CIR,38.0432017,-78.5016313
104,32 UNIVERSITY CIR,38.04316490000001,-78.5031183
105,1883 UNIVERSITY CIR,38.0417084,-78.50220829999999
106,64 UNIVERSITY WAY,38.04162,-78.5015203
107,60 UNIVERSITY WAY,38.0419063,-78.50132049999999
108,300 10 ST NW,38.0352244,-78.4931527
109,1900 LEWIS MOUNTAIN RD,38.0374811,-78.5074648
110,1400 JEFFERSON PARK AV,38.0317859,-78.501907
111,1400 SADLER ST.,38.0363005,-78.499372
112,1885 UNIVERSITY CIR,38.0415728,-78.5020751
113,39 UNIVERSITY CIR,38.0420604,-78.50267439999999
114,2100 ARLINGTON BLVD,38.0491098,-78.50654899999999
115,1800 UNIVERSITY AV,38.0365826,-78.50294439999999
116,1700 UNIVERSITY AV,38.0357702,-78.5020821
117,1500 GRADY AV,38.0403367,-78.497614
118,100 MARKET ST W,38.031353,-78.4815291
119,226 SOUTH ST E,38.029782,-78.4841185
120,100 13TH ST NW,38.0333831,-78.4982878
121,100 3RD ST NE,38.030321,-78.47998919999999
122,100 1ST ST S,38.0307862,-78.48150509999999
123,1200 GROVE ST,38.0290836,-78.5004374
124,800 CABELL AV,38.0421808,-78.49634929999999
125,1500 VIRGINIA AVE,38.0380253,-78.49879039999999
126,1500 GORDON AV,38.0395535,-78.4985161
127,500 17 ST NW,38.040391,-78.4999073
128,400 MARKET ST E,38.0306425,-78.4787908
129,1700 GRADY AV,38.0412839,-78.4993966
130,1100 WERTLAND ST,38.0340999,-78.4957563
131,1400 UNIVERSITY AV,38.0339357,-78.4999725
132,2100 TWYMAN RD,38.04086,-78.5135876
133,1600 GRADY AV,38.0414838,-78.4989013
134,100 6TH ST NE,38.0308332,-78.4772204
135,1300 GORDON AV,38.0388845,-78.4958422
136,1300 MAIN ST W,38.0332883,-78.4979397
137,1500 UNIVERSITY AV,38.0347543,-78.5004804
138,14 UNIVERSITY CIR,38.0423493,-78.50167569999999
139,300 KENT RD,38.0405841,-78.5151703
140,1400 WERTLAND ST,38.034733,-78.4996211
141,600 CABELL AV,38.0406913,-78.497693
142,400 13TH ST NW,38.0368734,-78.4968011
143,1400 GORDON AV,38.0392277,-78.49681389999999
144,100 11TH ST NW,38.03785329999999,-78.4940809
145,400 17 ST NW,38.03917939999999,-78.5006286
146,100 CRESAP RD,38.0402962,-78.5084558
147,100 CAMERON LN,38.0413608,-78.5097657
148,1300 GRADY AV,38.0398141,-78.495294
149,100 MINOR RD,38.0394917,-78.5115184
150,2100 MORRIS RD,38.0419964,-78.5131267
151,1200 GORDON AV,38.0384253,-78.49509479999999
152,1600 GORDON AV,38.0390359,-78.4989013
153,2100 MINOR RD,38.0400891,-78.5141189
154,400 1 ST NORTH,38.0330404,-78.4805004
155,2400 ARLINGTON BLVD,38.0497137,-78.5074682
156,10 UNIVERSITY CIR,38.0420833,-78.501254
157,300 3RD ST NE,38.03181530000001,-78.4792549
158,200 MARKET ST W,38.0316793,-78.48205399999999
159,403 HEDGE ST,38.0338979,-78.47725899999999
160,400 4TH ST LOT,38.0284883,-78.4875405
161,300 JEFFERSON ST E,38.0318078,-78.4792579
162,1100 LOCUST AV,38.0426042,-78.46011949999999
163,1000 SMITH ST,38.0427108,-78.4605838
164,500 LEXINGTON AV,38.0330926,-78.47241939999999
165,700 HARRIS ST,38.0359111,-78.4842073
166, 4TH ST NE,38.0318078,-78.47843189999999
167, 3RD ST NE,38.0322777,-78.4790672
168, 2ND ST NW,38.032083,-78.4817569
169, 1ST ST N,38.0330298,-78.4805054
170, JEFFERSON ST E,38.0304692,-78.4737719
171, MARKET ST E,38.0263874,-78.4673962
172, OLD PRESTON AVE,38.0318831,-78.48339310000001
173, MARKET ST W,38.0319643,-78.4825371
174, 5TH ST LOT,38.029581,-78.48165399999999
175, 4 ST SE,38.0289031,-78.4798552
176, 9TH ST SW,38.02812249999999,-78.4952843
177,700 MAPLE ST,38.0326031,-78.4754225
178,300 PARK ST,38.031476,-78.476973
179,300 COURT SQ,38.0309471,-78.4773515
180,321 PARKWAY,38.0293059,-78.47667810000002
181,700 MARKET ST E,38.0301135,-78.47659259999999
182,400 4 ST CIRCUIT COURT LOT,38.0363483,-78.50734589999999
183,500 7TH ST NE,38.0326132,-78.4754248
184,500 8TH ST NE,38.0324291,-78.4748266
185,100 MCGUFFEY ART CTR LOT,38.0322705,-78.48211880000001
186,300 HIGH ST E,38.03010380000001,-78.4799451
187,300 1ST ST N,38.0323001,-78.4808062
188,400 HEDGE ST,38.0335853,-78.4772191
189,900 SYCAMORE ST,38.0340266,-78.4720832
190,1000 LITTLE HIGH ST,38.0310723,-78.4719015
191,400 10TH ST NE,38.0310732,-78.471598
192,300 PARKWAY,38.0213182,-78.4395621
193,100 PERRY DR,38.0360345,-78.4796788
194,500 PARK PLAZA,38.03404099999999,-78.47788059999999
195,400 2ND ST NE,38.032788,-78.4797116
196,300 7TH ST NE,38.031154,-78.4761679
197,100 MARKET ST E,38.0315386,-78.4811438
198,300 HEDGE ST,38.0337542,-78.4778824
199,500 GROVE AV,38.0317988,-78.4697824
200,300 8TH ST NE,38.0309855,-78.4755205
201,200 4TH ST LOT,38.0293205,-78.47961959999999
202,500 17TH ST NW,38.040391,-78.4999073
203,100 N PIEDMONT.AVE,38.0259344,-78.518737
204,2000 MINOR RD,38.0400116,-78.51396020000001
205,300 14TH ST NW,38.0360823,-78.4985164
206,500 13TH ST NW,38.0388904,-78.49582649999999
207,27 UNIVERSITY CIR,38.0433392,-78.5038507
208,300 15TH ST NW,38.03632109999999,-78.49937249999999
209,600 13TH ST NW,38.0398022,-78.49524269999999
210,200 SPRIGG LN,38.03872459999999,-78.50796129999999
211,1000 WERTLAND ST,38.0339151,-78.4942514
212,1300 WERTLAND ST,38.03428299999999,-78.4980801
213,2300 FONTAINE AVE,38.0258294,-78.51666639999999
214,100 MAURY AVE,38.0259552,-78.5150589
215,100 STADIUM RD,38.0316902,-78.5089843
216,100 SHAMROCK RD,38.0270334,-78.510696
217,500 BRANDON AV,38.0301671,-78.5042185
218,100 DAVID TER,38.026141,-78.50697509999999
219,1600 CENTER AVE,38.02516,-78.50723099999999
220,1600 CENTER AV,38.02516,-78.50723099999999
221,1600 MULBERRY AVE,38.0240921,-78.506869
222,200 ROBERTSON AV,38.0243276,-78.51306559999999
223,200 ROBERTSON AVE,38.0243276,-78.51306559999999
224,900 JEFFERSON ST E,38.0304298,-78.474373
225,500 PARK PLZ,38.03404099999999,-78.47788059999999
226,600 MAIN ST E,38.0295636,-78.4776298
227,100 6TH ST SE,38.0227707,-78.4823846
228,600 JEFFERSON ST E,38.0314604,-78.4771853
229,600 FARISH ST,38.0347158,-78.4756936
230,100 7TH ST NE,38.0297561,-78.4765338
231,2500 PLATEAU RD,38.0249678,-78.52071660000001
232,0 WATER ST LOT,38.0294361,-78.4811304
233,100 WASHINGTON AVE,38.0275935,-78.5136388
234,400 BRANDON AVE,38.0315809,-78.50336890000001
235,400 LEXINGTON AVE,38.0314588,-78.4737833
236,1700 JEFFERSON PARK AVE,38.0302354,-78.5083337
237,500 W MAIN ST,38.0307806,-78.48791899999999
238,0 OLD ALBERMARLE HOTEL LOT,38.0305501,-78.4525701
239,10 GILDERSLEEVE WOOD,38.0305225,-78.506914
240,600 W MAIN ST,38.0309327,-78.4885358
241,1300 JEFFERSON PARK AVE,38.0319019,-78.501032
242,700 W MAIN ST,38.0314589,-78.49011089999999
243,1900 UNIVERSITY AVE,38.0365826,-78.50294439999999
244,300 W MAIN ST,38.0302236,-78.4855953
245,1500 GRADY AVE,38.0403367,-78.497614
246,1600 JEFFERSON PARK AVE,38.031753,-78.5073794
247,100 10TH ST NW,38.0326129,-78.4947443
248,400 GARRETT ST,38.0279731,-78.4803241
249,100 10 1/2 ST NW,38.032737,-78.4952697
250,100 12 1/2 ST NW,38.03322319999999,-78.49752099999999
251,100 GARRETT ST,38.0290794,-78.4840012
252,500 E WATER ST,38.0290786,-78.4788796
253,100 3RD ST SE,38.0303104,-78.4799943
254,200 W WATER ST,38.0302078,-78.4828532
255,200 E JEFFERSON ST,38.0320677,-78.4800788
256, UNIVERSITY AV,38.0367289,-78.50338289999999
257,200 W MARKET ST,38.0316282,-78.4820802
258,800 E JEFFERSON ST,38.0307801,-78.4754387
259,700 E MARKET ST,38.0301135,-78.47659259999999
260,600 E MARKET ST,38.0304104,-78.4774516
261,300 E MARKET ST,38.0308985,-78.47952339999999
262,20 UNIVERSITY CIR,38.0435503,-78.5030961
263,700 E JEFFERSON ST,38.030937,-78.475938
264,700 NALLE ST,38.0293989,-78.49153
265,300 7 1/2 ST SW,38.0296536,-78.4913187
266,600 E JEFFERSON ST,38.0314604,-78.4771853
267,300 E JEFFERSON ST,38.0318078,-78.4792579
268,800 E HIGH ST,38.0312113,-78.4752611
269,0 MCGUFFEY LOT,38.0322705,-78.48211880000001
270,100 W JEFFERSON ST,38.03211,-78.48105149999999
271,1100 E MARKET ST,38.027908,-78.47210799999999
272,500 COURT SQ,38.0310995,-78.4776364
273,300 9TH ST SW,38.0300327,-78.4947064
274,100 UNIVERSITY WAY,38.0423801,-78.5013762
275,1100 E JEFFERSON ST,38.0291699,-78.4713316
276,900 KING ST,38.0296064,-78.4954747
277,1000 GROVE ST,38.029623,-78.49705999999999
278,900 NALLE ST,38.0300738,-78.4944703
279,200 AVON ST,38.0281412,-78.4774494
280,700 KING ST,38.0286794,-78.4921811
281,600 9TH ST SW,38.026973,-78.495041
282,100 5TH ST SE,38.029701,-78.478431
283,1700 ALLIED ST,38.0405914,-78.4779028
284,200 E MARKET ST,38.0311044,-78.48036689999999
285,1400 SADLER ST,38.0363005,-78.499372
286,200 14TH ST NW,38.0348151,-78.49892349999999
